ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01 09:46:00,11.43450162,4.2861826543609824,27.689715485982134,11.43450162,11.43450162,3.992465153529005,3.992465153529005,3.992465153529005,2.963548994403572,2.963548994403572,2.963548994403572,1.6157148422243333,1.6157148422243333,1.6157148422243333,-0.5867986830988989,-0.5867986830988989,-0.5867986830988989,0.0,0.0,0.0,15.426966773529006
2009-12-01 10:06:00,11.43444302482268,2.4360570719004757,25.99236318263712,11.43444302482268,11.43444302482268,3.77851663662349,3.77851663662349,3.77851663662349,2.748837347732256,2.748837347732256,2.748837347732256,1.6157667253384838,1.6157667253384838,1.6157667253384838,-0.5860874364472486,-0.5860874364472486,-0.5860874364472486,0.0,0.0,0.0,15.21295966144617
2009-12-01 10:52:00,11.434308255914846,3.1048292498666283,26.1823971540425,11.434308255914846,11.434308255914846,3.107196503611255,3.107196503611255,3.107196503611255,2.078720974085782,2.078720974085782,2.078720974085782,1.6129230210597836,1.6129230210597836,1.6129230210597836,-0.5844474915343103,-0.5844474915343103,-0.5844474915343103,0.0,0.0,0.0,14.541504759526102
2009-12-01 11:34:00,11.434185206042475,2.302317293323497,24.488765510062233,11.434185206042475,11.434185206042475,2.30463068138867,2.30463068138867,2.30463068138867,1.2807980243190404,1.2807980243190404,1.2807980243190404,1.6067778413724625,1.6067778413724625,1.6067778413724625,-0.5829451843028335,-0.5829451843028335,-0.5829451843028335,0.0,0.0,0.0,13.738815887431144
2009-12-01 11:37:00,11.434176416765878,2.1178097556945135,24.776751842200916,11.434176416765878,11.434176416765878,2.246341295185313,2.246341295185313,2.246341295185313,1.2229676869285333,1.2229676869285333,1.2229676869285333,1.6062113034380416,1.6062113034380416,1.6062113034380416,-0.5828376951812627,-0.5828376951812627,-0.5828376951812627,0.0,0.0,0.0,13.68051771195119
2009-12-01 11:50:00,11.43413832990062,2.0616231525442505,25.038883596285856,11.43413832990062,11.43413832990062,2.0005820707031305,2.0005820707031305,2.0005820707031305,0.9793917923221565,0.9793917923221565,0.9793917923221565,1.603561907719183,1.603561907719183,1.603561907719183,-0.5823716293382082,-0.5823716293382082,-0.5823716293382082,0.0,0.0,0.0,13.43472040060375
2009-12-01 11:57:00,11.434117821588558,2.187985014245171,24.979844912901168,11.434117821588558,11.434117821588558,1.8750858467899876,1.8750858467899876,1.8750858467899876,0.8552012442294301,0.8552012442294301,0.8552012442294301,1.6020050851250434,1.6020050851250434,1.6020050851250434,-0.5821204825644862,-0.5821204825644862,-0.5821204825644862,0.0,0.0,0.0,13.309203668378546
2009-12-01 12:47:00,11.433971333645259,0.5493925419890645,24.402703292088635,11.433971333645259,11.433971333645259,1.232294475097775,1.232294475097775,1.232294475097775,0.2243425647186221,0.2243425647186221,0.2243425647186221,1.588274654296172,1.588274654296172,1.588274654296172,-0.58032274391702,-0.58032274391702,-0.58032274391702,0.0,0.0,0.0,12.666265808743034
2009-12-01 13:38:00,11.433821915943096,1.3826801411225533,23.743800006905893,11.433821915943096,11.433821915943096,1.1605121401944776,1.1605121401944776,1.1605121401944776,0.16931819555508504,0.16931819555508504,0.16931819555508504,1.5696760644296033,1.5696760644296033,1.5696760644296033,-0.5784821197902097,-0.5784821197902097,-0.5784821197902097,0.0,0.0,0.0,12.594334056137573
2009-12-01 14:14:00,11.43371644462392,1.5718134512606512,24.58057848502005,11.43371644462392,11.43371644462392,1.3608689110904817,1.3608689110904817,1.3608689110904817,0.3841877293591814,0.3841877293591814,0.3841877293591814,1.5538598211551087,1.5538598211551087,1.5538598211551087,-0.5771786394238088,-0.5771786394238088,-0.5771786394238088,0.0,0.0,0.0,12.794585355714402
